BALKIND J M,Jonathan Balkind,3.640537,3.3,745,24,2021,2024,36,709,3.5,CMPSC,CMPTGCS,INT,,,,,
AMIHAY O,Monica Orozco,3.639803,3.5,711,32,2016,2021,0,711,2.5,C,HEB,RG,,,,,
RASSENTI D,Darby Feldwinn,3.636603,4.2,1519,210,2009,2018,1515,4,3.1,ES,,,,,,,
COBURN K M,Katie Coburn,3.635452,2.8,2753,37,2021,2024,0,2753,3.4,PSTAT,,,,,,,
SAUR E H,Elizabeth Saur,3.632895,2.5,1140,31,2019,2024,0,1140,5.0,WRIT,,,,,,,
GALLUCCI R,Ralph Gallucci,3.630861,1.9,18512,243,2009,2024,71,18441,4.1,CLASS,GREEK,INT,,,,,
SHEWRY T J,Teresa Shewry,3.62931,2.2,1740,26,2010,2024,0,1740,4.8,ENGL,,,,,,,
GIBOU F G,Frederic Gibou,3.629215,2.6,2064,22,2010,2023,112,1952,4.0,CMPSC,ME,,,,,,
BAILLARGEON K,Katie Baillargeon,3.624482,2.4,3378,51,2010,2024,64,3314,4.9,INT,MUS,WRIT,,,,,
MACGILLIVRAY,Maureen MacGillivray,3.614035,2.7,798,108,2019,2020,0,798,3.8,FEMST,,,,,,,
SALZMAN J E,Javier Birchenall,3.609961,3.7,1536,110,2010,2024,0,1536,2.4,ESM,,,,,,,
REYNOLDS D F,Dwight Reynolds,3.605847,2.0,1163,24,2010,2024,0,1163,4.9,C,RG,,,,,,
MCCARTY P C,Philip McCarty,3.605788,1.7,6634,47,2010,2017,0,6634,4.3,GLOBL,,,,,,,
CASSIDY T C,Elizabeth Thoren,3.604976,3.5,824,65,2019,2023,0,824,2.5,MUS,,,,,,,
FOLTZ K R,Kathy Foltz,3.601458,3.5,4595,46,2009,2022,163,4432,5.0,BIOL,INT,MCDB,,,,,
CORPUZ R,Randy Corpuz,3.598402,2.7,876,39,2013,2016,0,876,4.6,PSY,,,,,,,
LINZ D G,Dan Linz,3.598208,3.0,3906,40,2010,2024,17,3889,4.4,COMM,INT,,,,,,
MORGAN M,Morgan Gainer,3.59673,4.1,1315,137,2009,2024,0,1315,3.4,INT,THTR,,,,,,
MURTI-HALI D,Dolly Mullin,3.595184,3.5,976,351,2016,2021,0,976,4.1,WRIT,,,,,,,
MOORE K C,Kathleen Moore,3.59173,3.1,1705,69,2013,2024,63,1642,2.5,EACS,INT,JAPAN,WRIT,,,,
RIGHTMIRE S R,Randy Rightmire,3.590784,3.5,1454,29,2009,2024,383,1071,2.9,LING,WRIT,,,,,,
HAJJAR L,Lisa Hajjar,3.589265,2.5,4760,68,2010,2024,23,4737,4.8,INT,SOC,,,,,,
CONVERSE C W,Caren Converse,3.585061,1.9,2142,36,2009,2019,0,2142,4.8,ED,WRIT,,,,,,
BUCHOLTZ M H,Mary Bucholtz,3.58074,1.8,2648,23,2009,2024,31,2617,4.6,CH,ED,INT,LING,,,,
WANG Y W,Yuan-Fang Wang,3.57741,4.0,996,48,2017,2023,10,986,1.9,CMPSC,,,,,,,
RIOS V M,Victor Rios,3.576489,2.0,4249,93,2010,2023,110,4139,4.3,INT,SOC,,,,,,
SHINAGAWA C,Chikako Shinagawa,3.575113,2.0,1547,37,2009,2020,0,1547,5.0,JAPAN,,,,,,,
BHAVNANI K,Kum Kum Bhavnani,3.57435,2.5,1115,31,2011,2024,0,1115,4.8,GLOBL,SOC,,,,,,
KURIN D S,Danielle Kurin,3.572892,3.1,937,32,2013,2021,0,937,4.6,ANTH,,,,,,,
POPESCU P F,Paula Popescu,3.572207,2.9,24708,32,2017,2024,0,24708,3.8,PHYS,,,,,,,
ARGENT P,Scott Price,3.571884,3.4,658,364,2009,2024,2,656,4.6,ART,ARTST,,,,,,
MOORE K A,Kathleen Moore,3.571765,3.1,1275,69,2020,2024,0,1275,2.5,HIST,,,,,,,
ABU-OMAR M,Dolly Mullin,3.568504,3.5,1143,351,2016,2024,0,1143,4.1,CHEM,,,,,,,
GUAN D,Daoxiong Guan,3.563203,2.0,2329,28,2009,2024,0,2329,5.0,CHIN,,,,,,,
KIA-KEATING B,Javier Birchenall,3.559934,3.7,609,110,2010,2016,0,609,2.4,ED,PSY,,,,,,
SEIKALY S R,Sherene  Seikaly ,3.550243,3.6,1443,28,2015,2024,0,1443,4.4,HIST,,,,,,,
LASHMET A J,Amy Lashmet,3.549002,3.1,1002,36,2016,2024,211,791,3.6,LING,,,,,,,
DONELAN J H,James Donelan,3.548634,2.7,3405,93,2009,2024,424,2981,3.9,C,ENGL,INT,LIT,W&L,WRIT,,
CHARNESS G B,Gary Charness,3.546729,3.0,1605,40,2010,2024,0,1605,3.3,ECON,,,,,,,
GORDON M K,Matt Gordon,3.544398,1.9,1187,23,2009,2024,0,1187,4.4,LING,,,,,,,
D'ANTONIO C M,Christopher McAuley,3.539959,2.5,1474,72,2009,2024,12,1462,4.4,EEMB,ENV,,,,,,
KIPPIN T E,Tod Kippin,3.539793,3.4,2807,54,2010,2024,5,2802,3.4,INT,MCDB,PSY,,,,,
FOLSOM D P,Doug Folsom,3.537567,2.6,748,26,2010,2012,179,569,4.7,PHYS,,,,,,,
O'CONNELL B A,Javier Birchenall,3.537279,3.7,1301,110,2018,2019,0,1301,2.4,MUS,,,,,,,
HAYNIE R M,Ralph Gallucci,3.534158,1.9,849,243,2013,2013,0,849,4.1,PHYS,,,,,,,
HSU C-C,John Hsu,3.5291,3.4,1811,43,2009,2022,0,1811,3.6,CHIN,,,,,,,
GARFINKLE C G,Charlene Garfinkle,3.524546,2.4,1817,25,2011,2023,0,1817,4.0,ARTHI,,,,,,,
ALAGONA P S,Peter Alagona,3.522765,3.0,6097,107,2010,2023,149,5948,5.0,ENV,HIST,INT,,,,,
CHEN H,Huachen Chen,3.522422,2.9,999,25,2019,2021,0,999,3.8,MATH,,,,,,,
ISUKAPALLI Y,Yogananda Isukapalli,3.516062,3.5,2011,38,2017,2024,0,2011,4.9,ECE,,,,,,,
NIELSEN E S,Erik Nielsen,3.512239,2.9,2247,31,2010,2024,0,2247,4.0,ENV,GLOBL,SOC,,,,,
NESCI C,Catherine Nesci,3.510337,3.0,1248,27,2010,2024,0,1248,4.5,C,FR,GER,,,,,
ZHU ZIMU,Zimu Zhu,3.510191,3.9,942,22,2021,2024,0,942,3.6,PSTAT,,,,,,,
ATZBERGER P J,Paul Atzberger,3.509707,3.1,3688,54,2010,2024,49,3639,2.9,INT,MATH,ME,,,,,
DURAN J M,Jane Duran,3.509268,2.3,669,23,2009,2019,0,669,3.8,BL,,,,,,,
WHITEHEAD K A,Kevin Whitehead,3.507446,3.5,1061,28,2018,2023,23,1038,4.9,INT,SOC,,,,,,
LANE D S,Dan Lane,3.506644,3.0,2393,37,2019,2024,313,2080,5.0,COMM,INT,,,,,,
WARWICK N L,Nicole Warwick,3.504568,2.3,2868,29,2013,2024,0,2868,4.9,WRIT,,,,,,,
DERWIN S,Susan Derwin,3.504063,3.1,1403,39,2009,2023,123,1280,3.0,C,GER,INT,,,,,
EARDLEY D M,Douglas Eardley,3.503512,1.3,2050,22,2009,2024,0,2050,4.3,PHYS,,,,,,,
GREATHOUSE J,John Greathouse,3.500442,3.0,10414,134,2010,2023,7358,3056,4.9,ENGR,TMP,,,,,,
KUMAR S L,Sanjay Kumar,3.499515,2.4,1237,32,2021,2024,0,1237,4.7,MATH,,,,,,,
LIM S,Shirley Lim,3.499381,2.7,646,27,2009,2020,61,585,3.8,ENGL,LIT,W&L,,,,,
MIRZA D,Diba Mirza,3.498406,3.0,4014,56,2017,2024,19,3995,4.7,CMPSC,CMPSCW,CMPTGCS,,,,,
