Name,RMP_name,GPA,Difficulty,Students,RMP_Ratings,First,Last,Years,PNP,Letter,RMP_rating,Departments,,,,,,
LUBIN P,Philip Lubin,3.268685,2.9,4691,53,2009,2024,15,80,4611,2.5,ASTRO,INT,ME,PHYS,,,
MCCARTY P C,Philip McCarty,3.605788,1.7,6634,47,2010,2017,7,0,6634,4.3,GLOBL,,,,,,
CONRAD P T,Phill Conrad,3.678315,2,4782,70,2010,2024,14,583,4199,4.6,CMPSC,CMPSCCS,CMPSCW,CMPTGCS,INT,,
GEE Q P,Quentin Gee,3.063365,2.4,4695,24,2010,2019,9,418,4277,4.3,ENV,ESM,GEOG,PHIL,,,
FELDMAN R,Raisa Feldman,3.319113,3.1,2051,29,2010,2023,13,215,1836,2.9,PSTAT,PSTATW,,,,,
GALLUCCI R,Ralph Gallucci,3.630861,1.9,18512,243,2009,2024,15,71,18441,4.1,CLASS,GREEK,INT,,,,
BROWNING R,Randalyn Browning,3.43848,2.8,4579,30,2009,2020,11,0,4579,4.3,WRIT,,,,,,
BERGSTROM R E,Randy Bergstrom,3.165875,3.1,3244,97,2010,2024,14,9,3235,3.9,HIST,,,,,,
CORPUZ R,Randy Corpuz,3.598402,2.7,876,39,2013,2016,3,0,876,4.6,PSY,,,,,,
RIGHTMIRE S R,Randy Rightmire,3.590784,3.2,1454,29,2009,2024,15,383,1071,2.7,LING,WRIT,,,,,
CLEMENCON R,Raymond Clemencon,3.130164,3.2,3345,35,2009,2024,15,0,3345,3.6,ESM,GLOBL,POL,SOC,,,
WEBER R,Rene Weber,3.025384,2.8,4298,46,2009,2024,15,5,4293,3.5,COMM,PSY,,,,,
POWELL R C,Rich Powell,3.196144,2.1,2671,36,2009,2014,5,306,2365,4.5,ES,ESS,,,,,
WATSON R B,Rich Watson,2.452304,3.9,4709,99,2009,2016,7,0,4709,3.2,ECON,,,,,,
APPELBAUM R,Richard Appelbaum,2.870159,3,2396,56,2009,2019,10,0,2396,4.1,GLOBL,SOC,,,,,
HECHT R,Richard Hecht,3.144604,2.8,5365,102,2010,2023,13,12,5353,3.5,C,INT,RG,,,,
MAYER R E,Richard Mayer,3.344391,2.5,3744,39,2009,2024,15,68,3676,3.7,PSY,,,,,,
WITTMAN R K,Richard Wittman,3.012869,3.5,2137,48,2011,2024,13,0,2137,3.5,ARTHI,INT,,,,,
WANG R K,Richert Wang,3.209203,3.2,3010,55,2017,2024,7,263,2747,4.5,ART,CMPSC,CMPSCW,CMPTGCS,W&L,,
STOODY R L,Rick Stoody,2.964986,2.4,1448,22,2012,2016,4,0,1448,4.8,PHIL,,,,,,
RALEY R M,Rita Raley,3.203624,3.3,2125,44,2009,2024,15,0,2125,4.1,ENGL,,,,,,
ANTONUCCI R R,Robert Antonucci,2.592295,3.2,3154,101,2012,2023,11,0,3154,2.9,ASTRO,PHYS,,,,,
DEACON R T,Robert Deacon,3.149705,2.7,678,36,2010,2014,4,0,678,3.5,ECON,ENV,,,,,
GELLER R M,Robert Geller,3.171199,3.3,32270,247,2010,2024,14,35,32235,3.5,ASTRO,ASTROW,PHYS,,,,
KRUT R M,Robert Krut,3.741498,2.2,2858,74,2009,2024,15,231,2627,4.8,LIT,W&L,WRIT,,,,
KOEGEL R L,Robert L. Koegel,3.756645,2.2,1550,25,2009,2017,8,29,1521,4.3,CNCSP,ED,,,,,
LEWIS R B,Robert Lewis,2.801127,3.9,10650,101,2016,2024,8,0,10650,4.5,CHEM,,,,,,
MORSTEIN-MARX,Robert Morstein-Marx,2.964664,2.2,1548,25,2010,2024,14,17,1531,4.6,CLASS,GREEK,INT,LATIN,,,
SAMUELS R D,Robert Samuels,3.424231,2.6,2047,21,2010,2024,14,137,1910,3.5,INT,WRIT,,,,,
STRONGMAN R D,Roberto Strongman,3.248875,3.4,3865,52,2009,2024,15,24,3841,3,BL,C,INT,RG,,,
NABI R L,Robin Nabi,2.775974,4,3646,52,2010,2024,14,0,3646,3.6,COMM,,,,,,
GARRATT R J,Rod Garratt,2.860505,2.9,3284,52,2011,2022,11,0,3284,4.3,ECON,,,,,,
FREEDMAN R A,Roger Freedman,2.965885,4.2,8140,195,2011,2021,10,0,8140,2.5,PHYS,,,,,,
CHRISTOFFERSE,Rolf Christoffersen,2.887161,3.6,19745,92,2009,2024,15,459,19286,3.1,BMSE,INT,MCDB,,,,
RICE R E,Ronald Rice,3.414994,3,1614,21,2009,2024,15,3,1611,4.5,COMM,,,,,,
VALLIS D L,Roy Vallis,3.73852,1.7,784,43,2009,2014,5,0,784,4.7,WRIT,,,,,,
BUSTO R V,Rudy Busto,3.294963,2.2,3693,43,2009,2024,15,14,3679,4.4,AS,RG,W&L,,,,
REVLIN R,Russell Revlin,2.837735,3.1,3461,203,2009,2018,9,208,3253,3.7,INT,PSY,,,,,
FINKELSTEIN R,Ruth Finkelstein,2.936146,4.4,13382,104,2010,2024,14,20,13362,2,MCDB,,,,,,
OPREA R D,Ryan Oprea,2.760439,3.5,5101,48,2014,2024,10,0,5101,4.3,ECON,,,,,,
MOUTI S,Saad Mouti,2.730051,4.4,1188,70,2021,2024,3,30,1158,2.4,PSTAT,PSTATW,,,,,
THOMAS S F,Sabina Thomas,2.794555,2.4,2663,40,2012,2017,5,0,2663,4.1,EARTH,EARTHW,,,,,
FRUHSTUCK S,Sabine Fruhstuck,3.230987,2.8,3779,23,2010,2023,13,29,3750,3.6,ANTH,EACS,HIST,INT,JAPAN,,
SWEET S S,Sam Sweet,2.988454,3.5,2044,31,2009,2024,15,49,1995,4.3,EARTH,EEMB,ENV,GEOL,,,
SCUDDER S L,Samantha Scudder,3.458457,2.8,2359,43,2019,2024,5,15,2344,4.6,PSY,,,,,,
PANDYA S P,Sameer Pandya,3.25503,2.5,8121,46,2010,2024,14,0,8121,4.5,AS,,,,,,
OH S P,Sang-Yun Oh,3.142727,3.9,660,26,2010,2024,14,0,660,2.3,PHYS,,,,,,
KUMAR S L,Sanjay Kumar,3.499515,2.4,1237,32,2021,2024,3,0,1237,4.7,MATH,,,,,,
LINDHEIM S H,Sara Lindheim,3.344444,2.9,837,30,2009,2024,15,0,837,4.1,CLASS,GREEK,LATIN,,,,
POOT-HERRERA,Sara Poot-Herrera,3.687071,3,1369,33,2009,2024,15,0,1369,3.1,SPAN,,,,,,
CASE S H,Sarah Case,2.788677,3.1,1572,39,2012,2023,11,0,1572,3.5,FEMST,HIST,,,,,
CLINE S L,Sarah Cline,3.068837,3.1,937,21,2009,2017,8,0,937,3.7,HIST,LAIS,,,,,
HIRSCH S A,Sarah Hirsch,3.697264,2.2,2193,23,2012,2024,12,27,2166,4.9,ENGL,INT,WRIT,,,,
MCCLURE S B,Sarah McClure,3.411266,2.5,1509,21,2019,2024,5,0,1509,4.8,ANTH,,,,,,
GURUSWAMY S,Sathya Guruswamy,3.228312,3.6,6446,45,2010,2024,14,790,5656,2.9,ECE,ME,PHYS,,,,
SINGH SATYAJ,Satyajit Singh,3.264536,3.2,1142,23,2020,2024,4,0,1142,4,GLOBL,POL,,,,,
FULKERSON S D,Scott Fulkerson,3.01655,4,4707,62,2017,2024,7,285,4422,4.3,ECON,,,,,,
HODGES S A,Scott Hodges,2.841395,3.1,10639,33,2010,2024,14,24,10615,3.7,BIOL,EEMB,MCDB,,,,
MARCUS S L,Scott Marcus,3.482986,1.7,2445,46,2009,2024,15,393,2052,3.4,INT,MUS,,,,,
PRICE S P,Scott Price,2.553756,3.4,23525,364,2012,2024,12,43,23482,4.6,CHEM,INT,,,,,
REID S A,Scott Reid,3.177361,3.5,2509,52,2010,2024,14,3,2506,3.6,COMM,,,,,,
LOW S H,Seng Low,2.502435,4.2,21194,217,2009,2024,15,18,21176,2.5,MCDB,,,,,,
FARMER S A,Sharon Farmer,3.106885,3.3,610,32,2009,2019,10,0,610,2.5,FEMST,HIST,,,,,
SOLIS S W,Sharon Solis,3.30691,3.4,1563,23,2021,2024,3,0,1563,3,CMPSC,PSTAT,,,,,
SHAKERIAN S,Shaya Shakerian,3.303003,2.6,1465,30,2018,2021,3,0,1465,4.7,MATH,,,,,,
GABLE S,Shelly Gable,3.21985,2.6,6277,72,2009,2024,15,43,6234,4.4,PSY,,,,,,
SEIKALY S R,Sherene  Seikaly ,3.550243,3.6,1443,28,2015,2024,9,0,1443,4.4,HIST,,,,,,
LIM S,Shirley Lim,3.499381,2.7,646,27,2009,2020,11,61,585,3.8,ENGL,LIT,W&L,,,,
BERMUDEZ S,Silvia Bermudez,3.698679,2.9,2422,35,2010,2024,14,494,1928,3.9,C,INT,LAIS,SPAN,,,
FALASCA S,Simonetta Falasca,3.460701,2.9,1939,27,2010,2024,14,19,1920,3.7,INT,SOC,,,,,
HAN SONGI,Song-I Han,3.223966,4,1402,29,2011,2023,12,49,1353,2.4,BMSE,CH,CHEM,,,,
JAMMALAMADAKA,Sreenivasa Jammalamadaka,3.489236,2.4,2499,30,2010,2024,14,1,2498,4.4,PSTAT,,,,,,
AWRAMIK S M,Stanley Awramik,2.789288,3.6,2950,50,2010,2023,13,266,2684,3.7,EARTH,GEOL,INT,,,,
KLEIN S B,Stanley Klein,2.936884,2.6,9755,204,2009,2024,15,227,9528,4.3,INT,PSY,,,,,
TUTINO S,Stefania Tutino,2.872511,3.2,1346,43,2009,2014,5,0,1346,4.5,HIST,RG,,,,,
BATISTE S L,Stephanie Batiste,2.961086,3.8,1087,48,2009,2024,15,0,1087,2.7,BL,ENGL,,,,,
LEMENAGER S S,Stephanie Lemenager,3.402046,2.6,782,29,2009,2013,4,0,782,4.7,ENGL,ENV,,,,,
MORET S L,Stephanie Moret,3.443233,2.2,4714,43,2012,2024,12,170,4544,4.4,ENV,ESM,GEOG,,,,
BIGELOW S J,Stephen Bigelow,3.226064,2.5,4205,122,2009,2024,15,24,4181,3.4,MATH,,,,,,
ZYLSTRA S J,Stephen Zylstra,3.089025,2.9,2205,26,2015,2024,9,0,2205,4.2,PHIL,,,,,,
BURATTO S K,Steve Buratto,3.058144,3.2,3309,69,2009,2024,15,0,3309,4.1,CHEM,,,,,,
DU BOIS J W,Steve Du Bois,3.384615,2.6,832,30,2009,2023,14,0,832,4.4,LING,,,,,,
GAULIN S J,Steven Gaulin,2.550222,3.4,11704,314,2009,2024,15,27,11677,3.6,ANTH,INT,,,,,
FEINSTEIN S C,Stuart Feinstein,2.617808,3.1,15100,60,2009,2024,15,301,14799,4.4,BIOL,INT,MCDB,,,,
SWEENEY S H,Stuart Sweeney,3.032267,2.4,3564,49,2010,2024,14,29,3535,3.1,GEOG,,,,,,
SURI S,Subhash Suri,3.307658,2.7,1802,26,2009,2024,15,10,1792,4.6,CMPSC,CMPTGCS,,,,,
DERWIN S,Susan Derwin,3.504063,3.1,1403,39,2009,2023,14,123,1280,3.1,C,GER,INT,,,,
PORTER S M,Susannah Porter,2.863897,2.4,3526,49,2010,2024,14,148,3378,4.4,EARTH,EEMB,GEOL,,,,
OGBECHIE S O,Sylvester Ogbechie,3.247409,3,1949,40,2011,2024,13,0,1949,2.6,ARTHI,,,,,,
AFIFI T D,Tammy Afifi,3.436863,2.9,3456,35,2009,2024,15,151,3305,4.5,COMM,INT,,,,,
GERMAN T C M,Tamsin German,3.362438,2.1,13487,179,2010,2024,14,385,13102,4.5,INT,PSY,,,,,
TOBER T L,Tara Tober,3.438556,2.2,6108,90,2018,2024,6,73,6035,4.6,SOC,,,,,,
YOSSO T J,Tara Yosso,3.076346,3,1801,25,2010,2015,5,0,1801,2,CH,,,,,,
ANAGNOSON J T,Ted Anagnoson,2.872374,2.4,2161,22,2011,2015,4,0,2161,4.3,POL,,,,,,
BENNETT T D,Ted Bennett,2.814681,4.7,1771,24,2009,2024,15,0,1771,3.1,ME,,,,,,
BERGSTROM T C,Ted Bergstrom,2.862053,3.6,1062,59,2009,2024,15,0,1062,2,ECON,,,,,,
MACKER E A,Teddy Macker,3.796361,2.6,632,40,2009,2019,10,480,152,4.1,LIT,W&L,WRIT,,,,
BIBILASHVILI,Tengiz Bibilashvili,3.192719,3.3,8254,75,2012,2024,12,1316,6938,4.6,ECE,INT,ME,PHYS,,,
FIGUEROA T,Teresa Figueroa,3.276419,2.4,3507,43,2009,2017,8,0,3507,2.8,ANTH,CH,FEMST,LAIS,,,
ROBERTSON T,Teresa Robertson,2.563713,3.8,1072,31,2011,2024,13,0,1072,3.3,PHIL,,,,,,
SHEWRY T J,Teresa Shewry,3.62931,2.2,1740,26,2010,2024,14,0,1740,4.8,ENGL,,,,,,
BARRETT T W,Thomas Barrett,3.494929,2.2,2268,58,2018,2024,6,4,2264,4.9,MATH,PHIL,,,,,
EVEN T J,Thomas Even,2.791792,2.8,28885,178,2009,2024,15,72,28813,4.5,EEMB,INT,,,,,
HOLDEN T A,Thomas Holden,2.976421,3,2727,46,2010,2024,14,0,2727,4.5,PHIL,,,,,,
HOOKER T M,Thomas Hooker,2.670487,2.7,1623,188,2009,2010,1,0,1623,1.9,CHEM,,,,,,
HUGHES T,Thomas Hughes,2.834649,3.2,2205,34,2010,2015,5,0,2205,4.7,POL,,,,,,
NGUYEN T T,Thuc-Quyen Nguyen,3.38102,3.1,843,31,2010,2024,14,0,843,3.9,CHEM,INT,,,,,
DEVRIES T J,Timothy Devries,3.312028,2.2,1721,33,2015,2024,9,0,1721,4.6,GEOG,MARSC,,,,,
SHERWOOD T P,Timothy Sherwood,3.699636,2.5,1100,21,2009,2024,15,0,1100,4.8,CMPSC,ECE,,,,,
DE SIMONE T,Tiziana De Simone,3.281192,2.4,1930,26,2011,2024,13,0,1930,4.2,ITAL,,,,,,
KIPPIN T E,Tod Kippin,3.539793,3.3,2807,54,2010,2024,14,5,2802,3.2,INT,MCDB,PSY,,,,
OAKLEY T H,Todd Oakley,3.258331,3,3403,22,2009,2023,14,16,3387,3.4,BIOL,EEMB,,,,,
CARLSON T A,Tom Carlson,3.006063,4.4,1270,41,2009,2024,15,0,1270,4,RG,,,,,,
SIDERIS T C,Tom Sideris,2.893065,3.6,2062,33,2009,2021,12,109,1953,3,MATH,,,,,,
DICKEY T D,Tommy Dickey,3.252437,1.6,2359,50,2009,2016,7,0,2359,4.5,GEOG,INT,,,,,
MARKS T G,Trevor Marks,3.419866,4,1047,24,2017,2024,7,0,1047,3.9,ME,,,,,,
HASEGAWA T,Tsuyoshi Hasegawa,2.731848,3,2468,60,2009,2016,7,0,2468,3.8,HIST,,,,,,
PADULA V,Valentina Padula,3.255299,2.1,3425,61,2010,2024,14,0,3425,4.7,ITAL,,,,,,
WOODS V E,Vanessa Woods,3.239763,3.6,8621,102,2013,2024,11,399,8222,3.6,INT,PSY,,,,,
WALLACE V A,Vesna Wallace,3.36718,2.3,1557,28,2011,2024,13,0,1557,3.4,EACS,RG,,,,,
ARENAS VELAZQ,Victor Arenas,3.363733,2.2,659,55,2017,2024,7,0,659,4.8,SOC,,,,,,
RIOS V M,Victor Rios,3.576489,1.9,4249,93,2010,2023,13,110,4139,4.2,INT,SOC,,,,,
WELTER V W,Volker Welter,3.308585,3.1,2586,55,2010,2024,14,0,2586,3.8,ARTHI,ENV,INT,,,,
TSOUNA V,Voula Tsouna,3.210281,3.2,1955,43,2010,2023,13,0,1955,3.8,PHIL,,,,,,
HERNDON W W,Wade Herndon,3.057757,2.4,1721,34,2014,2016,2,0,1721,4.3,PSTAT,,,,,,
ROOF W C,Wade Roof,3.417837,2.2,869,28,2009,2016,7,0,869,3.5,RG,,,,,,
AFIFI W A,Walid Afifi,3.242029,3.2,4121,47,2009,2024,15,557,3564,3.7,COMM,INT,,,,,
SHAH S,Waqar Shah,3.01342,3.5,693,65,2022,2024,2,0,693,3.2,MATH,,,,,,
TIAN W,Wenchuan Tian,3.274157,3,1246,34,2021,2024,3,0,1246,4,MATH,,,,,,
MEIRING W,Wendy Meiring,3.154564,3.6,1928,38,2009,2024,15,177,1751,2.7,INT,PSTAT,,,,,
FREUDENBURG W,William Freudenburg,3.105144,2.5,836,88,2009,2010,1,0,836,4.2,ENV,,,,,,
RICE W R,William Rice,2.397421,3.8,7560,44,2011,2018,7,5,7555,3.2,EEMB,,,,,,
ROBINSON W I,William Robinson,3.232896,3.2,6399,124,2009,2024,15,0,6399,3.5,SOC,,,,,,
SMITH W,William Smith,2.887331,3.9,2668,22,2009,2024,15,14,2654,3.1,BMSE,MCDB,,,,,
VAN DAM W,Wim Van Dam,2.894304,4,1071,44,2010,2019,9,33,1038,2.7,CMPSC,CMPTGCS,ECE,PHYS,,,
KITTLER W D,Wolf Kittler,3.27145,2.7,3380,79,2009,2024,15,8,3372,2.7,C,GER,LIT,,,,
DAI X Z,Xianzhe Dai,2.406853,3.3,3079,108,2010,2024,14,57,3022,2.9,INT,MATH,,,,,
ZHAO X,Xiaojian Zhao,3.279826,2.5,4471,64,2010,2023,13,690,3781,3.8,AS,INT,,,,,
ZHENG X,Xiaowei Zheng,3.330048,3.3,1887,45,2010,2024,14,65,1822,4.5,CHIN,EACS,HIST,INT,,,
KHARITONOVA Y,Yekaterina Kate Kharitonova,3.147079,3.6,3783,160,2018,2024,6,1,3782,2.4,CMPSC,CMPSCW,INT,,,,
ZHANG YITANG,Yitang Zhang,3.415807,2.4,1474,26,2016,2024,8,2,1472,4,MATH,,,,,,
ISUKAPALLI Y,Yogananda Isukapalli,3.516062,3.5,2011,39,2017,2024,7,0,2011,4.9,ECE,,,,,,
BENZARTI Y C,Youssef Benzarti,3.257229,2.5,2483,31,2019,2024,5,0,2483,4.7,ECON,,,,,,
YU H-J,Yu Feng,3.457083,4.1,1193,38,2009,2022,13,0,1193,2.5,CHIN,,,,,,
WANG Y F,Yuan-Fang Wang,2.946437,4,1277,48,2010,2024,14,0,1277,1.9,CMPSC,ECE,,,,,
HUANG YU,Yunte Huang,3.350203,2,3199,69,2009,2024,15,38,3161,3.1,C,ENGL,LIT,W&L,,,
EILON Z C,Zachary Eilon,2.920094,3.2,1065,21,2018,2024,6,0,1065,4.6,EARTH,,,,,,
GROSSMAN Z J,Zack Grossman,2.715394,3.6,3209,72,2010,2017,7,0,3209,2.6,ECON,,,,,,
AVETISYAN Z,Zhirayr Avetisyan,2.562866,4.3,921,37,2018,2021,3,0,921,2,MATH,,,,,,
MATNI Z A,Ziad Matni,3.181337,3,6789,106,2016,2024,8,23,6766,4,CMPSC,CMPSCW,CMPTGCS,COMM,,,
ZHU ZIMU,Zimu Zhu,3.510191,3.6,942,22,2021,2024,3,0,942,3.5,PSTAT,,,,,,
LIBERMAN Z E,Zoe Liberman,3.038428,3.1,3703,83,2016,2023,7,61,3642,3.2,INT,PSY,,,,,
DOGIC Z,Zvonimir Dogic,3.182292,3.7,3394,49,2018,2023,5,0,3394,2.9,BMSE,PHYS,,,,,
