Name,RMP_name,GPA,Difficulty,Students,RMP_Ratings,First,Last,Years,PNP,Letter,RMP_rating,Departments,,,,,,
BLUMENTHAL,Debra Blumenthal,3.004889,2.9,1575,38,2010,2024,14,0,1575,2.6,HIST,INT,,,,,
LABUTIN D A,Denis Labutin,3.336792,2.5,4925,147,2010,2024,14,70,4855,2.8,INT,MATH,,,,,
BIELBY D D,Denise Bielby,3.356899,3.4,1406,30,2010,2020,10,0,1406,2.8,SOC,,,,,,
CLEGG D O,Dennis Clegg,2.635738,3.7,7278,35,2009,2024,15,52,7226,3.9,BIOE,BMSE,MCDB,,,,
KATZ D H,Derek Katz,3.462986,2.1,4247,47,2009,2024,15,0,4247,4.5,INT,MUS,,,,,
ALDEIS M D,Desiree Aldeis,3.247245,2.3,2976,21,2011,2018,7,32,2944,4.7,COMM,,,,,,
FRANKLIN D M,Diana Franklin,2.984682,3.3,1619,46,2009,2015,6,0,1619,3,CMPSC,,,,,,
FUJINO D C,Diane Fujino,3.118141,3.1,2679,84,2010,2024,14,91,2588,3.9,AS,INT,,,,,
MACKIE D M,Diane MacKie,3.16575,3.9,1454,28,2010,2022,12,53,1401,3,PSY,,,,,,
MIRZA D,Diba Mirza,3.498406,3,4014,56,2017,2024,7,19,3995,4.7,CMPSC,CMPSCW,CMPTGCS,,,,
MALEUVRE D,Didier Maleuvre,3.324457,3,3316,59,2009,2024,15,0,3316,3.4,C,FR,ITAL,,,,
ACOSTA-ALVEAR,Diego Acosta-Alvear,2.820494,4.3,1093,48,2017,2020,3,1,1092,2.5,MCDB,,,,,,
BOUWMEESTER D,Dirk Bouwmeester,3.012866,4.1,3381,58,2010,2024,14,16,3365,2.7,PHYS,,,,,,
AGRAWAL D,Divyakant Agrawal,3.276295,3.5,1814,38,2010,2023,13,1,1813,2.9,CMPSC,,,,,,
MULLIN D I,Dolly Mullin,2.687921,3.5,20350,351,2009,2023,14,89,20261,4.1,COMM,INT,,,,,
CASILLAS D I,Dolores Casillas,3.36841,2.3,5774,36,2010,2024,14,34,5740,4.3,C,CH,ED,INT,LING,,
JULLIEN D M,Dominique Jullien,3.076602,2.9,2013,22,2010,2023,13,0,2013,3,C,CLASS,ENGL,FR,MCDB,,
LUBACH D W,Don Lubach,3.684572,1.7,5166,44,2010,2019,9,294,4872,4.3,ED,,,,,,
AUE D H,Donald Aue,2.622684,3.6,7027,128,2009,2023,14,59,6968,3,CHEM,INT,,,,,
LOSTER D R,Donald Loster,3.06369,2.2,2520,46,2009,2020,11,207,2313,3.6,ECON,,,,,,
FOLSOM D P,Doug Folsom,3.537567,2.6,748,26,2010,2012,2,179,569,4.7,PHYS,,,,,,
STEIGERWALD D,Doug Steigerwald,3.142129,4.3,3392,40,2009,2024,15,0,3392,2.9,ECON,,,,,,
EARDLEY D M,Douglas Eardley,3.503512,1.3,2050,22,2009,2024,15,0,2050,4.3,PHYS,,,,,,
KULPER D E,Douglas Kulper,3.171779,3.2,7753,52,2009,2024,15,1248,6505,3.7,ECON,,,,,,
SEARS D W,Duane Sears,2.843491,4.4,2727,74,2010,2024,14,46,2681,2.7,INT,MCDB,,,,,
REYNOLDS D F,Dwight Reynolds,3.605847,1.9,1163,24,2010,2024,14,0,1163,4.5,C,RG,,,,,
MA D,Dzwokai Ma,3.059237,4.3,3459,41,2009,2024,15,52,3407,3.6,BMSE,MCDB,,,,,
EBRAHIM E,Ebrahim Ebrahim,3.086231,3.2,1823,57,2017,2020,3,0,1823,3.7,MATH,,,,,,
GARRISON E K,Ednie Garrison,3.496933,2.1,1467,35,2013,2018,5,0,1467,4,FEMST,,,,,,
